"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",26,5.38971807628524,,,,176500,1.4367816091954,4.56161137440758,0.0439263456090651,,0.181036117200028,0.0491896370597714,
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",27,3.98265084832249,87.37,7.9381,1.7197,199700,0.604534005037783,5.94164456233422,0.0416374561842765,,0.149194588732223,0.0393464624706859,68
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",28,7.68210230896798,91.79,7.3983,0.3023,281700,0.787119856887299,11.7857142857143,0.0664714235001775,,0.111774940160065,0.0314648488015427,58
"City","Mesa","Mesa","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",29,6.42939150401837,88.5,5.9136,1.5933,214500,0.704225352112676,8.82800608828006,0.032909090909091,,0.113625007173367,0.0247634530575033,64
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",30,5.52238805970149,91.54,4.0074,1.0467,531700,0.624526873580621,7.52275025278059,0.0157739326687982,,0.0727454366990541,0.0329916243992846,66
"City","Kansas City","Kansas City","MO","Kansas City, MO","""Kansas City, MO-KS""",31,3.19173363949483,84.38,,,115200,0.4359197907585,7.16279069767442,0.039592013888889,,0.207682054950802,0.0253085253944788,78.5
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",32,2.99145299145299,79.61,6.3196,0.157,254600,0.473559589581689,2.33118971061093,0.0211822466614298,,0.168332104049217,0.0255223743596532,83
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","""Colorado Springs, CO""",33,7.85049113407322,94.02,3.1898,,238100,0.676532769556025,7.98185941043084,0.0399202015959681,,0.0901934912765612,0.0110189738180374,65
"City","Atlanta","Atlanta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",34,4.50184972573032,88.16,,,198100,0.609446419502286,11.4800225098481,0.0663806158505804,,0.208198431342711,0.0312776222105148,66
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",35,1.62265595101416,77.65,,,301200,0.534045393858478,4.94773519163763,-0.00134794156706508,,0.143289974574536,0.0601793415621955,140
"City","Oakland","Oakland","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",36,7.98443679040694,100,5.1681,1.0561,646600,0.716510903426791,11.6560179589017,0.0340179399938139,,0.0505481266477041,0.03177898785211,49
"City","Tulsa","Tulsa","OK","Tulsa, OK","""Tulsa, OK""",37,5.43819364714887,100,,,110000,0.732600732600733,7.1080817916261,0.0339363636363637,,0.0934855972469237,0.0334293240958425,73
"City","Honolulu","Honolulu","HI","Urban Honolulu, HI","""Urban Honolulu, HI""",38,8.52914912616405,,,4.4883,650100,0.665840817590585,4.03264522323572,0.0353314874634671,,0.0402418115919545,0.0160959194743559,79
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",39,8.16303099885189,85.71,6.726,0.1565,227100,0.843694493783304,9.02544407105137,0.0379920739762218,,0.107386585073989,0.0136103952324303,80
"City","Baton Rouge","Baton Rouge","LA","Baton Rouge, LA","""Baton Rouge, LA""",40,4.95854063018242,88.44,,,151500,0.33112582781457,7.98289379900214,0.034917491749175,,0.0959377677240516,0.0444483918879848,86
"City","New Orleans","New Orleans","LA","New Orleans, LA","""New Orleans-Metairie, LA""",41,6.70876387294298,84.52,,,174400,0.634737449509521,11.0120942075111,,,0.120042262758675,0.0483289918539911,117
"City","Arlington","Arlington","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",42,7.78032912361271,98.11,4.35,,170300,0.471976401179941,10.0129198966408,0.0514621256605989,,0.0414215262330808,0.0219623477676249,48
"City","Raleigh","Raleigh","NC","Raleigh, NC","""Raleigh, NC""",43,6.63477484373007,86.18,2.9017,,214400,0.562851782363977,8.22816759212519,0.0406669776119404,,0.0719463445014629,0.0231225071931535,60
"City","Wichita","Wichita","KS","Wichita, KS","""Wichita, KS""",44,3.22234978951397,89.22,,,116000,0.346020761245675,4.41044104410441,,,0.0700200927136763,0.0207115040669155,68
